# call objective best wall_seconds
1.3700000000e+02 2.7309087405e+02 2.1971735967e+01 2.2108278022e+01
1.3800000000e+02 2.7309375004e+02 2.1971735967e+01 2.2390548190e+01
1.3900000000e+02 2.7309299370e+02 2.1971735967e+01 2.2748895925e+01
1.4000000000e+02 2.7309344201e+02 2.1971735967e+01 2.1920045311e+01
1.4100000000e+02 2.7309274888e+02 2.1971735967e+01 2.2207476835e+01
1.4200000000e+02 2.7308296329e+02 2.1971735967e+01 2.3385720593e+01
1.4300000000e+02 2.7309927903e+02 2.1971735967e+01 2.1964113099e+01
1.4400000000e+02 2.7308948847e+02 2.1971735967e+01 2.2069470258e+01
1.4500000000e+02 2.7309187603e+02 2.1971735967e+01 2.3056555159e+01
1.4600000000e+02 2.7308397488e+02 2.1971735967e+01 2.1936028096e+01
1.4700000000e+02 2.7309034346e+02 2.1971735967e+01 2.2445662570e+01
1.4800000000e+02 2.7308463406e+02 2.1971735967e+01 2.2534079983e+01
1.4900000000e+02 2.7308993903e+02 2.1971735967e+01 2.2421955206e+01
1.5000000000e+02 2.7308997998e+02 2.1971735967e+01 2.2046511517e+01
1.5100000000e+02 8.1047800978e+01 2.1971735967e+01 2.2099464980e+01
1.5200000000e+02 8.1046422333e+01 2.1971735967e+01 2.2421456281e+01
1.5300000000e+02 8.1049949209e+01 2.1971735967e+01 2.2128487241e+01
1.5400000000e+02 8.1054197700e+01 2.1971735967e+01 2.1906160062e+01
1.5500000000e+02 8.1050616189e+01 2.1971735967e+01 2.2339418999e+01
1.5600000000e+02 8.1043736668e+01 2.1971735967e+01 2.2276142745e+01
1.5700000000e+02 8.1049915657e+01 2.1971735967e+01 2.2076400066e+01
1.5800000000e+02 8.1047811394e+01 2.1971735967e+01 2.2488558095e+01
1.5900000000e+02 8.1042652970e+01 2.1971735967e+01 2.2439687775e+01
1.6000000000e+02 8.1056246282e+01 2.1971735967e+01 2.2015921783e+01
1.6100000000e+02 8.1047878210e+01 2.1971735967e+01 2.2537383696e+01
1.6200000000e+02 8.1051520498e+01 2.1971735967e+01 2.2745925622e+01
